Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
55	3121.2979	3469.052275	3190.311699	8083.957559	7118.145391	6698.273574	6305.579336	7042.615977	7359.75082	3768.276357	3521.67165	3560.909639	7095.924551	4970.954961	6068.064727	6430.239941	7045.60709	7063.16125	6108.025762	5540.891309	6434.106973	5720.98002	8939.814258	7186.669766	7722.102012	7748.886484	8307.192676	6512.986563	8969.879492	10041.45285	7877.810879	5905.386445	5980.276289	7753.524707	8498.187324	6144.10959	5706.050664	5859.691445	7346.998438	9212.906406	7087.092402	7869.205566	8106.784531	7413.810645	8968.954297	7740.443984	8408.235664	6707.387832	8049.107441	7926.689297	7156.794961	5878.852051	5679.723105	11146.22496	11267.06457	7382.956133	6569.443789	6975.378516	6197.620684	6072.92373	7307.743828	7601.35791	7221.170234	7784.89457	8035.834492	6849.182129	7972.81625	8077.221152	5987.326035	6615.641445	9132.975703	7002.905176	8912.207461	8272.274102	5770.883223	6055.641563	7224.019766	6780.163711	6329.926875	6024.726367	7213.264766	8165.004219	6034.065332	6298.229043	6688.662793	7166.186367	7266.847148	7126.146934	7688.89373	6932.873809	7141.304668	8488.742539	7079.508848	3049.211758	3059.042021	3051.720156
56	3130.010576	3486.671709	3204.340078	7913.750215	6938.152578	6616.789941	6222.419336	6935.213633	7262.745371	3738.775869	3500.30916	3533.381338	7005.684492	4941.515254	5994.419902	6312.370078	6920.601699	6960.739551	6024.848809	5478.002949	6329.811055	5656.408926	8689.460527	7034.566738	7576.725039	7624.162656	8182.954805	6380.362891	8789.008945	9823.563047	7728.54416	5824.713145	5888.445723	7601.131113	8323.977461	5871.01166	5624.999063	5780.443105	7214.83625	9106.741133	6969.177168	7707.38041	7919.959863	7261.309629	8810.567344	7551.007637	8204.294746	6392.167695	7948.831777	7778.389238	7033.003242	5802.908984	5636.869512	10930.90457	11341.29016	7268.477227	6494.73916	6840.41377	6100.530625	5898.089102	7201.513906	7480.855762	7079.171738	7633.905117	7904.774414	6749.63832	7839.335156	7956.131172	5939.676621	6524.095566	9034.121992	6754.231582	8810.904766	8143.500527	5727.756934	6009.340098	7163.823926	6701.222246	6250.984746	5988.229531	7106.573848	8041.958008	5967.794785	6208.940645	6637.24541	7102.572773	7222.716582	7082.806914	7572.972148	6860.104863	7064.008359	8359.944063	6998.872559	3048.447441	3058.092021	3051.17959
57	3141.51793	3508.146914	3221.542676	7741.813496	6767.689805	6536.26584	6136.400879	6837.84875	7165.290488	3709.994424	3479.304043	3507.551826	6918.501172	4912.533516	5921.213457	6199.113789	6801.352539	6859.54834	5943.149336	5418.120801	6229.473691	5579.993125	8391.140078	6883.570879	7431.545977	7501.539492	8058.552656	6254.383262	8596.791055	9596.73668	7567.301484	5750.511543	5801.234707	7447.131816	8117.493398	5617.98418	5548.202168	5707.321504	7083.75248	8986.600664	6850.151836	7542.55625	7723.410859	7106.07377	8647.397754	7363.944395	7986.511309	6094.874043	7850.014492	7629.656445	6909.49584	5730.417949	5595.185352	10712.92492	11369.02129	7162.877129	6423.23543	6711.053262	6000.521035	5740.442852	7102.410781	7364.040391	6940.274805	7483.114023	7766.738516	6646.919375	7696.526055	7823.669063	5896.217617	6433.375098	8922.333633	6558.775313	8705.536211	8022.537461	5685.486426	5965.491602	7098.148594	6634.340254	6178.678418	5952.442559	6997.79709	7917.423828	5904.685371	6119.901719	6586.392168	7042.005566	7181.735977	7037.617402	7455.514824	6777.516387	6984.253047	8224.539922	6947.467441	3047.876328	3056.91249	3050.930557
58	3157.750547	3538.779521	3245.696338	7562.955293	6595.718711	6449.806367	6038.804609	6748.183613	7055.780449	3679.236094	3455.575107	3480.432734	6826.084648	4882.198809	5840.520254	6084.207871	6679.919961	6750.141367	5856.177324	5359.493418	6127.273887	5493.463105	7987.388652	6725.850137	7270.084453	7368.138477	7918.240527	6125.412559	8369.904258	9349.865234	7384.153965	5678.242031	5710.956367	7278.19666	7877.40334	5371.026738	5476.168945	5634.478281	6940.354023	8838.790156	6715.811641	7363.409375	7506.906113	6937.490605	8458.418809	7161.989648	7740.118809	5837.649375	7736.868672	7463.162246	6777.365742	5656.026777	5549.916895	10472.7084	11347.27484	7050.495469	6346.927891	6577.066953	5894.406738	5594.853887	7005.290137	7240.225566	6795.371641	7321.292871	7613.554238	6533.60209	7531.572266	7670.680254	5852.982793	6338.471543	8775.146914	6385.764219	8585.631484	7891.282793	5641.42127	5922.018223	7021.766875	6575.108066	6108.712773	5916.072422	6879.712246	7775.956523	5839.71748	6033.502793	6532.695234	6977.771406	7139.133262	6982.909453	7333.465371	6683.33623	6896.501445	8063.075332	6897.153809	3046.3621	3055.312451	3049.970508
59	3179.891523	3580.774805	3277.966318	7378.322148	6423.02291	6356.668926	5932.405801	6655.672695	6935.993242	3645.080283	3429.392275	3452.131563	6724.260293	4848.785234	5753.33459	5966.030371	6553.456934	6628.243594	5763.313281	5300.529199	6022.627695	5401.998418	7491.957109	6556.547324	7086.451816	7220.743262	7761.135801	5990.82875	8110.481699	9093.552578	7189.216973	5606.924609	5615.054355	7094.864609	7607.62166	5143.609414	5407.90377	5560.632363	6784.758262	8670.79168	6567.379551	7176.898184	7276.92457	6757.099551	8247.588398	6944.554473	7470.443066	5634.285078	7602.002832	7277.646016	6633.800879	5579.87498	5500.569492	10213.3593	11283.43289	6916.560645	6262.085684	6432.738535	5786.129414	5463.45334	6909.609551	7108.751445	6653.758984	7149.784961	7452.271582	6412.920039	7355.799609	7504.440957	5806.244805	6236.77002	8593.334883	6209.434688	8448.27793	7748.144863	5592.727188	5878.954941	6937.405273	6519.096855	6040.238105	5878.647695	6752.109004	7617.249746	5771.064219	5946.617109	6476.99832	6909.716035	7093.087461	6918.800977	7210.107012	6583.759258	6803.319727	7878.001719	6819.931543	3045.368467	3053.192939	3048.827852
60	3205.671494	3629.462715	3314.52624	7200.503066	6262.373398	6268.497754	5838.772363	6544.259063	6835.016465	3611.640166	3404.62373	3424.335752	6624.012949	4812.913262	5672.750039	5854.399297	6435.591348	6509.446934	5677.449688	5242.94707	5922.441816	5317.130996	7019.437598	6391.893555	6903.031094	7071.176973	7611.123184	5869.47834	7893.334434	8874.708867	7020.69168	5535.638398	5521.478535	6925.710781	7335.803164	4968.761523	5346.348047	5490.785977	6638.770313	8526.756328	6435.860137	7016.906406	7076.586641	6591.341738	8062.502246	6738.765508	7213.495977	5484.049824	7468.080723	7099.78332	6495.712383	5514.341836	5456.38418	9974.265781	11206.70973	6786.704297	6174.328359	6296.845313	5688.814746	5352.990234	6818.115176	6982.329922	6522.671621	6997.045938	7316.89373	6306.601074	7211.198711	7364.94625	5758.952168	6142.484707	8422.095352	6037.821074	8306.500117	7621.526523	5542.940215	5837.240234	6866.321094	6462.762461	5980.663828	5846.928945	6635.593164	7469.822402	5701.49252	5865.325605	6425.615137	6851.03209	7046.299629	6857.021016	7105.611191	6499.912363	6721.740625	7712.218047	6719.557754	3044.194873	3052.809268	3049.109365
61	3233.115215	3681.185391	3354.453115	7040.973418	6127.131387	6188.784023	5762.974531	6431.614297	6760.12373	3582.852139	3383.580059	3399.411016	6538.924063	4779.741191	5607.054375	5757.770254	6334.739219	6402.950723	5605.155508	5191.676484	5832.606387	5250.078359	6644.290059	6240.378281	6744.94252	6938.05168	7480.946914	5767.069629	7727.441895	8690.36207	6875.268594	5473.739102	5439.417402	6779.05416	7065.988965	4856.159453	5296.21707	5433.674902	6514.095977	8405.89791	6330.17082	6882.041016	6915.321738	6452.853379	7915.016484	6561.315859	6990.980527	5368.26459	7356.794961	6949.468516	6374.978223	5461.737832	5423.254727	9775.727813	11135.1593	6678.430137	6093.868008	6181.544844	5609.761563	5261.285527	6740.766191	6870.770938	6405.481035	6868.511211	7202.490156	6222.428906	7095.309902	7254.145059	5718.155352	6065.39832	8272.484277	5898.17123	8178.728516	7522.838691	5495.702109	5800.067227	6809.437402	6406.04875	5938.22209	5822.866973	6539.147852	7341.856543	5635.374531	5799.488203	6383.949766	6806.531387	7004.02502	6807.390586	7017.849043	6437.578828	6651.517383	7576.372773	6620.13416	3043.196445	3053.426719	3050.175625
62	3262.982646	3738.52332	3400.882168	6907.893809	6020.251973	6116.821406	5697.636523	6330.870156	6699.75666	3558.231035	3365.903271	3376.611484	6471.146641	4750.279063	5554.491621	5675.928184	6250.178652	6308.943848	5545.341133	5146.069023	5751.92834	5198.09002	6363.390957	6102.122109	6615.300859	6822.515195	7364.961719	5679.910215	7571.874473	8507.413203	6740.698594	5422.62291	5369.181582	6648.558262	6790.714238	4789.336855	5260.20709	5390.574336	6409.415801	8291.859004	6243.661855	6755.35043	6777.202656	6338.197578	7797.408105	6411.936289	6802.355254	5276.139531	7267.883848	6826.172578	6275.437266	5418.221211	5399.753145	9604.067852	11060.0157	6594.378613	6023.346504	6084.842109	5547.429902	5186.15541	6675.957832	6773.833965	6294.325156	6758.008105	7099.871836	6157.46418	6978.150273	7160.330176	5684.112129	6002.969902	8132.175273	5798.974453	8064.715781	7445.008691	5451.709824	5768.529941	6760.081055	6357.565605	5911.685605	5805.775918	6460.160977	7225.670176	5575.513027	5750.108574	6351.434453	6770.062363	6964.625078	6771.376348	6941.783164	6393.346973	6586.445742	7458.8275	6544.72123	3042.758994	3054.435293	3051.752393
63	3299.789971	3807.028193	3459.087588	6791.486953	5928.107246	6042.645703	5630.168574	6242.480176	6629.655508	3535.201133	3348.786445	3355.575674	6408.169219	4722.73957	5504.000449	5601.906191	6169.576934	6222.504805	5489.407715	5098.558965	5678.153066	5150.663867	6126.696699	5969.912773	6498.319316	6713.509238	7248.344961	5596.288984	7420.39127	8324.032734	6612.305859	5377.183828	5304.008887	6519.017813	6490.021484	4740.62123	5233.241777	5354.41584	6310.862012	8166.140059	6163.528027	6633.595195	6639.022637	6231.322188	7680.672383	6277.410547	6630.532852	5198.364883	7180.902148	6712.171504	6186.345195	5377.888086	5378.72416	9422.334219	10960.89297	6518.407461	5956.441738	5994.513008	5496.962539	5121.589434	6617.460078	6683.615879	6191.540859	6652.615918	7002.612441	6103.21791	6860.558398	7069.380176	5652.7225	5942.852129	7976.873145	5725.366543	7954.651484	7370.017578	5409.196172	5739.975195	6714.827324	6311.717227	5891.532422	5789.02377	6389.358906	7111.217012	5524.727227	5708.345293	6325.213359	6733.592383	6925.319668	6742.129492	6869.11375	6357.400254	6521.515664	7352.131211	6496.252363	3043.277832	3054.559043	3051.69875
64	3345.183076	3890.223008	3530.011367	6683.223809	5847.831973	5966.43002	5562.004473	6160.896504	6557.275547	3512.593926	3332.665361	3335.707852	6345.774492	4696.679004	5452.710449	5534.563633	6091.846348	6139.42373	5428.776582	5047.961641	5610.998828	5103.699199	5919.37623	5848.91541	6389.74248	6607.680234	7132.168672	5514.655156	7283.809629	8146.905918	6493.963027	5331.712012	5242.992012	6389.785859	6179.428301	4699.488164	5210.877559	5322.231055	6217.892031	8032.906855	6091.387324	6520.946816	6499.158418	6129.848496	7556.80459	6155.620059	6471.443555	5133.627402	7089.430098	6604.73416	6105.910996	5340.005352	5357.719844	9223.903164	10833.99332	6445.373145	5890.863164	5908.892422	5454.086348	5063.264707	6560.589648	6599.061191	6106.493848	6551.973164	6907.113965	6054.117441	6749.558691	6982.153867	5616.829883	5883.538086	7812.739414	5661.841719	7840.186797	7297.794961	5369.162617	5713.55457	6677.444824	6265.984648	5869.986758	5771.080488	6323.945215	6995.688613	5486.835703	5669.197344	6305.795039	6700.268203	6886.975254	6714.125352	6798.849629	6323.355488	6457.085098	7252.873789	6465.838105	3045.006758	3054.990605	3051.478818
65	3401.78207	3992.921904	3617.326162	6573.330156	5780.456719	5890.303223	5499.168691	6079.206523	6486.896836	3489.635527	3318.287471	3316.095801	6284.248301	4672.394219	5402.360117	5475.532539	6019.341074	6056.947871	5368.851406	4996.953379	5547.595684	5059.356426	5741.220586	5736.120059	6289.941484	6505.24293	7014.102383	5437.576777	7162.86166	7980.640586	6386.56082	5285.371934	5187.337715	6260.464219	5891.213125	4663.915488	5190.981738	5294.514707	6129.946426	7901.091074	6026.944629	6418.436367	6365.633672	6033.287988	7426.018301	6044.830645	6322.743926	5074.626621	6998.928535	6503.410527	6033.512637	5304.515742	5337.626074	9032.62582	10693.72559	6374.673223	5827.640371	5828.450488	5413.622754	5007.37002	6508.077539	6524.921797	6031.681621	6456.82793	6811.032852	6016.392637	6647.375996	6898.541816	5580.810938	5828.564512	7647.113574	5605.811621	7722.507012	7228.854355	5333.571582	5688.794531	6642.802871	6220.276758	5848.373262	5754.218457	6262.094609	6877.759512	5459.536797	5634.129395	6290.597207	6676.251895	6851.029824	6684.765371	6730.120684	6288.694258	6393.352988	7159.218535	6441.458008	3046.468955	3055.745869	3051.528389
66	3473.434756	4121.202803	3725.152422	6469.854805	5722.336875	5816.116973	5442.194355	5992.334922	6421.450293	3466.741738	3305.152158	3296.547891	6224.560977	4651.172031	5354.245566	5423.801816	5951.993789	5973.386777	5312.202676	4948.518223	5477.628301	5019.054746	5591.303301	5629.392266	6197.139434	6405.833555	6890.254375	5364.764199	7041.90373	7822.267871	6284.481895	5239.308848	5137.298184	6133.995137	5651.142129	4636.570234	5174.583223	5273.015273	6046.088613	7774.366387	5965.125762	6322.125898	6244.240508	5944.752734	7296.647793	5944.876367	6181.427949	5020.237129	6910.844902	6408.453223	5970.306387	5272.534023	5318.513906	8865.479023	10555.38395	6308.355469	5769.446641	5754.132617	5374.43748	4953.12791	6460.562754	6464.510234	5967.93125	6369.244336	6714.515977	5986.250957	6547.844492	6816.462344	5547.110996	5774.921855	7488.943047	5557.159395	7608.86666	7162.661641	5304.627852	5666.541973	6595.279238	6175.993574	5831.235996	5737.151738	6206.668789	6756.799961	5434.001563	5603.862598	6276.149746	6658.106191	6814.489766	6653.772656	6663.397344	6251.987793	6332.190352	7071.128613	6418.683164	3048.007451	3057.119043	3052.081094
67	3563.458545	4281.770596	3857.697549	6375.781563	5668.169102	5746.017539	5389.85627	5899.5975	6357.889414	3444.347344	3291.760596	3277.695166	6164.604102	4632.611426	5308.40502	5379.083828	5888.847949	5896.69668	5262.577461	4902.541777	5408.033711	4981.84834	5470.21127	5528.324473	6109.611523	6310.558418	6762.210469	5295.43834	6917.710547	7671.933711	6178.006152	5196.046367	5092.408672	6010.247168	5462.402617	4614.960742	5162.219395	5256.043203	5963.646953	7645.784648	5895.442168	6231.94748	6131.644785	5870.492754	7174.868242	5854.71209	6040.296855	4967.928301	6819.558496	6319.927441	5914.380645	5244.691426	5300.130801	8715.502227	10424.73359	6245.780703	5718.667305	5685.338203	5338.908359	4902.539336	6418.011602	6410.120664	5913.562012	6287.138984	6616.824355	5956.883672	6453.126836	6733.082324	5516.681484	5715.74582	7348.305762	5518.737285	7508.677695	7098.310039	5282.283613	5646.302617	6543.202363	6134.628242	5814.651191	5718.090742	6155.424609	6639.511523	5404.612578	5575.26791	6263.969258	6638.304727	6773.691895	6623.93209	6602.241895	6213.859844	6275.802969	6989.265957	6395.607813	3049.564736	3059.342734	3052.384326
