Temperature	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
43	6170.005977	5656.559727	5189.993359	3767.274824	3675.789854	3546.607363	3730.978408	3552.199443	3732.10377	2903.363779	2900.076865	2922.416318	4833.096367	5239.615352	5003.529551	5793.401621	6099.719219	6845.187148	4004.602598	3907.070234	4026.105732	4171.332129	4306.788447	4227.811035	3275.495674	3369.087793	3428.988105	3469.092217	3542.524932	3734.064307	3628.425977	3804.671074	3664.157539	4313.131387	3745.829258	3841.099512	3858.773984	3448.465049	3493.172627	3586.126943	3609.624443	3788.474307	3707.29082	3688.97749	3708.605957	3983.662764	3973.56001	3955.741221	3429.083545	3535.390742	3481.214648	3666.687617	3729.37751	4085.504258	4506.693008	3612.99751	5414.27707	3886.121299	3860.375449	3913.380693	3671.91584	3736.054951	3668.657061	3633.293906	3667.656699	3674.333779	3837.55123	4317.084707	3971.66126	4045.327627	4224.17084	4076.187344	5772.044688	5821.523672	5279.37957	5294.40209	5688.046406	5153.53209	5435.906797	6056.818145	9804.770938	6501.262129	6847.494141	5025.041523	4210.477422	3855.783867	4017.494473	5430.153145	4923.993438	4770.966914	4967.191484	4878.366523	4836.968027	3450.887012	3425.141025	3418.338906
43.5	6161.316504	5639.548105	5181.706035	3802.216387	3715.729854	3588.746855	3783.520049	3587.144111	3759.897939	2902.17374	2898.009551	2921.244209	5028.282148	5454.375938	5208.579082	6080.976914	6402.590723	7125.901914	4082.444707	3978.887539	4100.25791	4265.358906	4386.397793	4304.98415	3285.110908	3386.038789	3443.015479	3503.362256	3575.453857	3764.87748	3636.546543	3812.797354	3667.571777	4318.22875	3759.471348	3851.690596	3877.971855	3467.048154	3510.043135	3605.976992	3635.152871	3814.383838	3706.706572	3693.446533	3712.148564	3982.86332	3971.413174	3949.454893	3446.935654	3560.621729	3527.761523	3699.848105	3767.917979	4226.356406	4663.477695	3623.316436	5479.360664	3892.961299	3876.562334	3918.538525	3695.204238	3761.037031	3693.849688	3669.614941	3702.031943	3707.836367	3898.762754	4392.386797	4030.058564	4098.375479	4279.200859	4122.751025	5866.554707	5894.860469	5358.269043	5348.660488	5915.443809	5375.756328	5613.62207	6240.529668	9942.259805	6728.041758	7038.999473	5204.619551	4211.468457	3869.472266	4026.149229	5678.011016	5163.911895	4979.557949	5182.201563	5085.882891	5053.472266	3447.556504	3420.72792	3413.436875
44	6154.019629	5623.938086	5174.91498	3847.533721	3767.832461	3641.10002	3851.555938	3631.555664	3795.912676	2901.452646	2895.87752	2920.355771	5247.117402	5695.083398	5438.105508	6382.197988	6720.30752	7421.904531	4176.888428	4063.32541	4188.274297	4375.233105	4480.515625	4395.299404	3299.077178	3409.565625	3462.926523	3546.318057	3617.229668	3803.164326	3650.1229	3826.513125	3676.503887	4329.509297	3780.52502	3867.274277	3901.824961	3491.122305	3532.332607	3632.496475	3669.098154	3848.469111	3709.659121	3701.787139	3718.719092	3987.174971	3972.326865	3944.019561	3472.116211	3593.784834	3590.392109	3742.187607	3816.149004	4387.606953	4849.551328	3638.388008	5558.405859	3904.864463	3899.278135	3929.462715	3725.639521	3794.441182	3728.044971	3718.015977	3748.419268	3754.729512	3978.576436	4489.712559	4105.91374	4166.758008	4352.498301	4182.233691	5981.501016	5987.750918	5457.39748	5421.190996	6171.378594	5615.069023	5827.407363	6459.267441	10120.60691	6988.417715	7266.879023	5412.411719	4215.80793	3891.818027	4040.8429	5951.114219	5434.486719	5217.202715	5420.248984	5316.357715	5297.569102	3444.159111	3416.542725	3408.793242
44.5	6147.973789	5609.520664	5169.253887	3905.30793	3834.963994	3704.527939	3938.012314	3687.283076	3842.510049	2901.021553	2893.92124	2918.876855	5487.573262	5960.064512	5690.397109	6687.295332	7042.569082	7724.076074	4292.723252	4164.096934	4294.038613	4503.695771	4592.025059	4502.474121	3319.098252	3441.446191	3490.860205	3598.072773	3669.282842	3849.28541	3670.875586	3847.441064	3691.938643	4348.667793	3810.27708	3887.678447	3930.933867	3521.420137	3560.937891	3667.23123	3712.355527	3891.30915	3716.780596	3714.388818	3730.221211	3998.026592	3977.755361	3940.19583	3507.01625	3636.986387	3673.92958	3795.419189	3875.420029	4573.158486	5068.842363	3660.343828	5653.56209	3922.488711	3929.567578	3946.47166	3765.612725	3838.551162	3773.122852	3781.214316	3808.852871	3816.901533	4080.563281	4611.958301	4202.78792	4253.054727	4446.603066	4256.844795	6118.867305	6104.453555	5578.82168	5515.464707	6451.993906	5865.57748	6077.174727	6710.997383	10339.34586	7278.047285	7528.770059	5645.439121	4225.113262	3923.941709	4062.970732	6245.351641	5729.917285	5478.868047	5675.665352	5566.261504	5565.621172	3441.081201	3412.893809	3404.422207
45	6143.160645	5596.579551	5164.708047	3977.865303	3920.016582	3779.937422	4045.567656	3755.585254	3902.276367	2900.294697	2891.875488	2917.080547	5744.9075	6243.493496	5960.22498	6985.712734	7357.414336	8022.521797	4436.839639	4285.891094	4422.491318	4656.228379	4726.03666	4632.507324	3346.705654	3484.285195	3529.402793	3659.74749	3732.232852	3904.216504	3700.323516	3877.04376	3715.413887	4377.837324	3851.019189	3915.617334	3966.580176	3560.086465	3597.153691	3710.702256	3765.43709	3943.979668	3729.924238	3733.476211	3747.744375	4016.519287	3988.998623	3939.481064	3555.061533	3694.159502	3783.821221	3862.029678	3947.859961	4788.036309	5323.028164	3690.568604	5768.367852	3947.841348	3968.188027	3970.579004	3817.683242	3895.769023	3832.048623	3862.096865	3886.390664	3897.197236	4207.362715	4760.955605	4323.696855	4358.867188	4564.753125	4348.449531	6281.239902	6248.921484	5724.749609	5635.022188	6751.455039	6124.815957	6359.373691	6990.37002	10594.37375	7590.617813	7821.282656	5899.111797	4240.249629	3967.84748	4094.301201	6551.649102	6039.279961	5755.385508	5942.091152	5830.36375	5852.116855	3437.994365	3409.98168	3400.666973
45.5	6139.980078	5586.156875	5161.657422	4067.374785	4026.234395	3869.725303	4176.818721	3838.695879	3977.564854	2899.89252	2890.031807	2915.334756	6012.621211	6537.920879	6242.927559	7268.997539	7656.170137	8308.624902	4616.449141	4436.053711	4580.262363	4839.944199	4890.181992	4791.883691	3383.953613	3542.065752	3581.974336	3733.409063	3808.156074	3971.126563	3740.5304	3917.928564	3748.577568	4418.552637	3904.426016	3954.332021	4010.599697	3608.577002	3643.598418	3764.250127	3829.966016	4007.967021	3749.973164	3761.659883	3773.401211	4044.955098	4007.70292	3943.842627	3620.251533	3770.010039	3926.513896	3944.395957	4036.828301	5036.454668	5611.789219	3730.801816	5907.905215	3982.995537	4016.456924	4002.961582	3885.054277	3969.193193	3908.053311	3962.845742	3983.545869	3998.77875	4361.445811	4938.054043	4471.299482	4486.336006	4710.012109	4458.581602	6470.27834	6424.534141	5897.457031	5784.069609	7065.491387	6392.28125	6669.016914	7290.75582	10877.52898	7920.13252	8139.597324	6169.953926	4262.166563	4025.363281	4136.937939	6858.491836	6349.851602	6034.665605	6211.831191	6101.928633	6149.638398	3435.172236	3407.016865	3396.928535
46	6138.228008	5577.907949	5159.416797	4174.164268	4155.603818	3976.059453	4331.417607	3937.59334	4068.918008	2899.158828	2888.403896	2913.48792	6279.773867	6831.926699	6526.554336	7525.733867	7926.704883	8570.940117	4836.252344	4618.876943	4770.837031	5059.446348	5089.635254	4984.299531	3434.393135	3617.328486	3651.263818	3821.13167	3897.854023	4053.163975	3793.385693	3971.782852	3793.225957	4473.003223	3972.302842	4006.57251	4065.199219	3669.178613	3702.694229	3829.356396	3907.84334	4084.434326	3779.163174	3799.644033	3808.932236	4084.602979	4035.973506	3955.782578	3707.333662	3869.427939	4104.839736	4045.970107	4146.613535	5316.533555	5927.51293	3782.898662	6076.297852	4029.385488	4075.432646	4043.975781	3972.022627	4062.089971	4003.47333	4086.287266	4102.283193	4123.272383	4542.645273	5141.900449	4647.799473	4637.701719	4883.797871	4587.941543	6686.706758	6632.488867	6097.533379	5963.764902	7384.897695	6663.261816	6994.216914	7598.414824	11172.24512	8252.765566	8471.485684	6449.531758	4292.173965	4097.486914	4192.650537	7145.247168	6640.894844	6297.247832	6472.286465	6367.703477	6443.846836	3432.617988	3403.715205	3393.493252
46.5	6137.790137	5571.574316	5158.253066	4300.351133	4310.231143	4103.899922	4508.110156	4053.102314	4178.415352	2897.714629	2886.952783	2911.41585	6534.60332	7112.332461	6798.036875	7746.314395	8159.522754	8800.631133	5098.853926	4838.073281	4998.388516	5318.747383	5327.573789	5211.22584	3501.588506	3715.502734	3742.964336	3927.618994	4005.869287	4156.77083	3861.797783	4041.382412	3851.569072	4544.57166	4057.39752	4075.743516	4134.36083	3745.973896	3779.400039	3910.24375	4003.031172	4177.359053	3820.569502	3849.990264	3857.806426	4138.814482	4077.378291	3978.030967	3823.859473	4000.53583	4322.883994	4172.320566	4284.026191	5623.901973	6258.819805	3849.139707	6279.635254	4090.131201	4147.265254	4095.370508	4084.573564	4179.215723	4124.193857	4236.05458	4246.178438	4272.833906	4751.82418	5371.988457	4856.171602	4815.971191	5088.732012	4740.183027	6931.605176	6874.637852	6327.428125	6176.097578	7701.180781	6930.453457	7319.550059	7895.549668	11455.49633	8573.348066	8802.887734	6727.158594	4332.603965	4184.598428	4263.708945	7389.445625	6890.045918	6523.316836	6708.690703	6611.343027	6715.946406	3430.543828	3400.333037	3390.001602
47	6138.840137	5567.410176	5158.861973	4448.180605	4492.590635	4260.327285	4704.595889	4186.069629	4307.194814	2896.132559	2885.552188	2909.80793	6766.698496	7367.515605	7046.66	7925.995488	8348.894863	8992.181113	5403.018652	5093.332285	5262.85998	5618.376797	5603.613359	5470.754805	3589.766436	3842.0275	3862.480088	4060.106318	4137.523506	4289.047119	3949.718789	4130.638203	3927.884824	4637.062168	4165.204844	4167.679844	4223.413428	3844.995498	3880.422168	4011.655322	4121.565303	4291.751094	3878.438506	3917.598018	3923.342705	4211.137568	4136.201953	4014.811484	3978.332129	4172.12792	4581.434014	4330.66998	4457.24625	5947.723086	6591.539863	3932.613389	6520.822168	4168.788457	4235.416855	4160.086807	4229.585029	4326.599365	4276.688066	4416.788262	4419.790039	4450.558115	4989.362578	5628.561191	5100.963691	5024.957559	5328.403027	4919.980313	7206.350488	7152.354688	6589.736055	6424.545488	8002.412266	7185.191426	7626.974785	8164.172871	11703.87316	8864.430059	9117.194707	6988.97541	4384.382363	4287.853613	4353.487871	7574.0625	7080.103848	6696.654766	6906.498672	6817.034688	6948.504941	3428.822783	3397.206191	3386.725742
47.5	6141.412207	5565.406582	5161.360938	4620.353223	4705.994297	4452.435723	4917.896289	4339.371084	4456.508496	2894.733096	2884.194746	2908.495801	6966.657402	7588.29084	7262.64209	8061.996504	8492.55957	9142.118984	5740.463379	5379.275449	5559.076777	5951.718379	5912.498164	5756.493262	3703.832764	4002.310625	4016.075322	4225.053643	4299.709834	4456.990742	4062.391387	4245.326084	4027.525859	4754.818984	4302.082695	4287.212539	4338.782363	3972.876533	4013.241143	4140.751094	4270.512559	4434.330029	3958.039072	4007.551094	4011.306348	4307.060088	4218.19457	4070.083564	4179.313232	4392.587412	4876.401387	4528.931533	4674.106328	6271.737383	6909.283613	4037.224951	6796.513809	4270.080479	4345.080049	4240.75415	4414.13707	4509.766729	4467.846455	4633.659336	4627.870098	4659.543936	5253.937363	5909.038125	5383.576816	5269.104023	5604.481934	5132.849258	7508.144199	7466.155195	6885.486582	6711.223359	8274.745293	7414.805137	7897.237402	8387.055488	11894.79355	9108.514746	9394.616953	7217.237988	4449.253359	4407.503545	4464.153633	7688.781973	7202.154375	6809.156895	7053.880879	6973.195234	7126.7025	3427.634336	3393.804072	3383.061484
48	6144.861699	5564.942949	5165.683086	4820.568965	4953.796973	4686.287305	5145.919375	4516.205703	4629.179492	2893.113154	2882.762588	2907.078945	7128.898438	7768.435508	7438.766309	8154.385918	8590.743242	9249.39	6099.150273	5686.179648	5877.063105	6308.724141	6244.025039	6059.812227	3848.734854	4201.440068	4209.705283	4428.965674	4498.517139	4666.281152	4206.618701	4392.720303	4157.171104	4904.741055	4476.485322	4439.859961	4487.14124	4138.506572	4186.404873	4305.487891	4456.706143	4612.165742	4066.822236	4127.029492	4129.183154	4433.443652	4329.916611	4148.739883	4433.826465	4668.223682	5198.976641	4773.903086	4941.493242	6579.674297	7197.207344	4169.208633	7098.756484	4399.499355	4481.739512	4341.405781	4644.998643	4733.247266	4703.646973	4893.509355	4876.065947	4901.82083	5542.172148	6208.420801	5702.467871	5549.898887	5916.361895	5384.631914	7833.048906	7814.512578	7212.623945	7035.55916	8503.833613	7607.73041	8115.033672	8552.18334	12014.80316	9291.85418	9618.593984	7397.347949	4528.295352	4543.016094	4597.22209	7735.967188	7257.237031	6862.431621	7146.709883	7074.703652	7245.075762	3427.270088	3390.45624	3379.438838
48.5	6149.979063	5566.35293	5172.078438	5050.99	5236.332754	4964.085215	5387.42832	4721.760332	4828.736855	2891.553691	2881.414658	2905.629453	7252.365762	7906.03543	7573.79791	8208.539082	8648.674844	9320.178359	6463.328711	6000.894844	6204.648926	6674.971523	6584.08082	6368.906484	4027.067969	4442.462617	4448.044189	4674.427188	4737.705469	4918.778965	4389.109688	4580.329756	4323.454746	5092.129961	4695.295342	4631.060527	4673.83168	4348.220254	4406.543789	4512.197275	4684.017695	4830.180469	4211.645928	4284.853174	4284.719961	4598.105684	4477.813877	4255.911543	4743.720674	4999.334707	5537.13082	5067.006777	5258.733828	6856.565977	7443.301621	4333.291787	7414.046504	4563.078281	4651.124746	4466.155791	4923.231875	4995.978359	4986.07583	5196.125176	5165.958633	5176.579336	5845.091094	6515.487617	6047.878965	5862.646328	6257.382988	5675.9325	8168.649922	8189.297852	7563.524434	7392.492852	8680.533516	7755.767813	8271.817891	8656.696973	12060.89559	9410.786289	9781.725195	7521.351133	4620.977324	4691.510293	4751.911016	7728.987168	7258.403887	6867.601582	7189.022051	7126.262012	7308.49582	3427.129561	3387.513135	3375.771436
49	6156.234824	5569.819746	5180.479023	5309.346289	5549.021719	5280.913125	5640.230449	4960.138691	5056.763711	2890.415264	2879.945732	2903.756279	7337.614746	8001.304336	7668.401621	8231.314355	8672.564336	9358.962539	6811.526133	6305.072734	6522.527402	7030.282656	6914.977598	6669.23291	4239.782598	4723.973652	4730.227871	4958.648184	5015.3054	5211.761016	4616.258613	4815.017607	4533.003662	5320.75416	4963.070156	4863.71373	4901.79584	4604.382334	4676.139033	4764.201953	4951.158213	5088.471504	4399.510195	4489.796387	4485.554111	4807.945137	4667.171699	4395.507461	5100.641719	5375.875752	5870.977617	5401.168867	5616.05543	7087.683418	7638.604355	4532.669121	7720.705957	4764.836152	4855.795215	4617.192637	5242.313555	5289.858359	5308.00998	5535.145215	5491.806035	5477.523105	6144.936348	6811.523359	6399.926367	6192.126367	6610.835176	5997.514688	8495.603594	8572.957305	7919.253867	7767.408086	8797.77875	7855.271445	8366.444199	8705.287969	12041.04199	9467.631016	9881.786914	7586.807441	4723.361426	4847.00666	4922.105742	7687.396582	7224.301816	6841.755273	7191.683145	7139.608262	7329.184746	3426.95583	3384.991064	3372.111963
